observer,id,common_name,description,lat,latin_name,lon,photo_link,count,obs_date,place
Hugues Dufourny,58,Gewone breedborst,"Degewone breedborst,breedborstloopkever,zwarte breedkeverofzwarte tor(Abax parallelepipedus) is eenkeverdie behoort tot de familieloopkevers(Carabidae).[1][2]",,Gnorimus nobilis,,https://waarnemingen.be/species/20796/photos/?date_after=2025-05-27&date_before=2025-05-27&country_division=23,2,2025-05-27,"Momignies Life BNIP 24 mares de l'arboretum (HA),Monceau-Imbrechies (HA)"
Hadrien Giusto,59,Berosus signaticollis,Berosus signaticollisis eenkeversoortdie behoort tot de familie van despinnende waterkevers(Hydrophilidae). De wetenschappelijke naam van de soort is gepubliceerd in 1825 doorToussaint von Charpentier. Hij plaatste de soort oorspronkelijk in het...,,Berosus signaticollis,,https://waarnemingen.be/species/22342/photos/?date_after=2025-05-27&date_before=2025-05-27&country_division=23,2,2025-05-27,Marais d'Harchies - Vasières et petit terril d'Hensies (HA)
Hadrien Giusto,60,Roodpootwatertor,Deroodpootwatertor(Hydrobius fuscipes) is een soort van kevers in de familieHydrophilidaedie wordt gevonden over een groot deel van het gematigdenoordelijk halfrond.,,Dytiscus marginalis,,https://waarnemingen.be/photos/119162923/,1,2025-05-27,Marais d'Harchies - Terril d'Hensies (HA)
Hugues Dufourny,61,Slakkenaaskever,Deslakkenaaskever(Phosphuga atrata) is eenkeveruit defamilieaaskevers(Silphidae). De wetenschappelijke naam van de soort werd in 1758 alsSilpha atratagepubliceerd doorCarl Linnaeus.[1]Het is de enige inNederlandvoorkomende soort van...,,Necrodes surinamensis,,https://waarnemingen.be/photos/119138100/,1,2025-05-27,Momignies Life BNIP 24 mares de l'arboretum (HA)
Hugues Dufourny,62,Ampedus spec.,,,Ampedus spec.,,https://waarnemingen.be/photos/119160761/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,63,Zwart soldaatje (pellucida),Cantharis pellucidais een keversoort uit de familie van desoldaatjes(Cantharidae). De soort komt voor in Europa. In Nederland komt hij voor in de maanden mei tot en met juli.,,Hermetia illucens,,https://waarnemingen.be/photos/119157789/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,64,Veelstippig Aziatisch lieveheersbeestje,-,,Harmonia axyridis,,https://waarnemingen.be/photos/119158450/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,65,Schizotus pectinicornis,Schizotus pectinicornisis eenkeversoortuit de familie van devuurkevers(Pyrochroidae). De wetenschappelijke naam is gepubliceerd in 1758 doorLinnaeusin de tiende editie vanSystema naturae.[1],,Schizotus pectinicornis,,https://waarnemingen.be/photos/119137233/,1,2025-05-27,Momignies Life BNIP 24 mares de l'arboretum (HA)
Hugues Dufourny,66,Gewone dubbeloogboktor,Degewone dubbeloogboktor(Tetropium castaneum) is eenkeversoortuit de familie van deboktorren(Cerambycidae). De wetenschappelijke naam van de soort werd gepubliceerd in 1758 doorLinnaeusin de tiende editie vanSystema naturae.[1],,Anoplophora glabripennis,,https://waarnemingen.be/photos/119151611/,1,2025-05-27,Macon (HA)
Hugues Dufourny,67,Kortsprietelzenhaantje,,,Cryptocephalus sericeus,,https://waarnemingen.be/photos/119156797/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,68,Grote eikelboorder,Degrote eikelboorder(Curculio venosus) is een kever behorend tot desnuitkevers.,,Eburia quadrigeminata,,https://waarnemingen.be/species/8407/photos/?date_after=2025-05-27&date_before=2025-05-27&country_division=23,2,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,69,Sciaphilus asperatus,,,Sciaphilus asperatus,,https://waarnemingen.be/photos/119141612/,1,2025-05-27,Macon (HA)
Hugues Dufourny,70,Gewone breedborst,"Degewone breedborst,breedborstloopkever,zwarte breedkeverofzwarte tor(Abax parallelepipedus) is eenkeverdie behoort tot de familieloopkevers(Carabidae).[1][2]",,Gnorimus nobilis,,https://waarnemingen.be/species/20796/photos/?date_after=2025-05-27&date_before=2025-05-27&country_division=23,2,2025-05-27,"Momignies Life BNIP 24 mares de l'arboretum (HA),Monceau-Imbrechies (HA)"
Hadrien Giusto,71,Berosus signaticollis,Berosus signaticollisis eenkeversoortdie behoort tot de familie van despinnende waterkevers(Hydrophilidae). De wetenschappelijke naam van de soort is gepubliceerd in 1825 doorToussaint von Charpentier. Hij plaatste de soort oorspronkelijk in het...,,Berosus signaticollis,,https://waarnemingen.be/species/22342/photos/?date_after=2025-05-27&date_before=2025-05-27&country_division=23,2,2025-05-27,Marais d'Harchies - Vasières et petit terril d'Hensies (HA)
Hadrien Giusto,72,Roodpootwatertor,Deroodpootwatertor(Hydrobius fuscipes) is een soort van kevers in de familieHydrophilidaedie wordt gevonden over een groot deel van het gematigdenoordelijk halfrond.,,Dytiscus marginalis,,https://waarnemingen.be/photos/119162923/,1,2025-05-27,Marais d'Harchies - Terril d'Hensies (HA)
Hugues Dufourny,73,Slakkenaaskever,Deslakkenaaskever(Phosphuga atrata) is eenkeveruit defamilieaaskevers(Silphidae). De wetenschappelijke naam van de soort werd in 1758 alsSilpha atratagepubliceerd doorCarl Linnaeus.[1]Het is de enige inNederlandvoorkomende soort van...,,Silpha atrata,,https://waarnemingen.be/photos/119138100/,1,2025-05-27,Momignies Life BNIP 24 mares de l'arboretum (HA)
Hugues Dufourny,74,Ampedus spec.,,,Ampedus spec.,,https://waarnemingen.be/photos/119160761/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,75,Zwart soldaatje (pellucida),Cantharis pellucidais een keversoort uit de familie van desoldaatjes(Cantharidae). De soort komt voor in Europa. In Nederland komt hij voor in de maanden mei tot en met juli.,,Chlorophanus pellucidus,,https://waarnemingen.be/photos/119157789/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,76,Veelstippig Aziatisch lieveheersbeestje,-,,Harmonia axyridis,,https://waarnemingen.be/photos/119158450/,1,2025-05-27,Monceau-Imbrechies (HA)
Hugues Dufourny,77,Schizotus pectinicornis,Schizotus pectinicornisis eenkeversoortuit de familie van devuurkevers(Pyrochroidae). De wetenschappelijke naam is gepubliceerd in 1758 doorLinnaeusin de tiende editie vanSystema naturae.[1],,Schizotus pectinicornis,,https://waarnemingen.be/photos/119137233/,1,2025-05-27,Momignies Life BNIP 24 mares de l'arboretum (HA)
