common_name,obs_date,id,place,count,latin_name,lat,description,observer,lon,photo_link
Glimmer onbekend-Amara spec.,2025-06-01,95,Vallée de l'Aubrecheuil - N2000 (HA),1,,,,André Lafourt,,https://waarnemingen.be/species/8643/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Dwergwatertor-Hydroporus planus,2025-06-01,96,Châtelet (HA),1,,,,Eliott Leclercq,,https://waarnemingen.be/species/22148/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Krompootdoodgraver-Nicrophorus vespillo,2025-06-01,97,Deux-Acren (HA),1,,,,lievebeutels,,https://waarnemingen.be/species/1725/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Philonthus cognatus,2025-06-01,98,Froidchapelle (HA),1,,,"Philonthus cognatusis een kortschildkever. Volwassenen zijn 8 tot 10 mm lang. Ze zijn overwegend zwart van kleur, hoewel de dekschilden een metaalachtige glans hebben en veel putjes bevatten. Kenmerkend voor deze soort is dat de onderzijde van het...",Philippe Deflorenne,,https://waarnemingen.be/photos/120101739/
Bosmestkever-Anoplotrupes stercorosus,2025-06-01,99,Stambruges (HA),1,,,,Agneton,,https://waarnemingen.be/photos/119987367/
Klein vliegend hert-Dorcus parallelipipedus,2025-06-01,100,,1,,,,,,https://waarnemingen.be/species/1661/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Rolrond vliegend hert-Sinodendron cylindricum,2025-06-01,101,Gallaix (HA),1,,,,wuelche jacky,,https://waarnemingen.be/species/1662/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Sallandkever-Hoplia philanthus,2025-06-01,102,Mouscron (HA),1,,,,Christophe Gruwier,,https://waarnemingen.be/species/8679/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Hoplia spec.,2025-06-01,103,Quiévrain (HA),1,,,,Pascal Natalino,,https://waarnemingen.be/photos/120006075/
Neushoornkever-Oryctes nasicornis,2025-06-01,104,Marcinelle (HA),1,,,,Jelle Vleugels,,https://waarnemingen.be/photos/119957810/
Rozenkever-Phyllopertha horticola,2025-06-01,105,Saint-Denis (Hai.) (HA),1,,,,Agneton,,https://waarnemingen.be/species/1483/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Penseelkever (gallicus)-Trichius gallicus,2025-06-01,106,Châtelet (HA),1,,,,Eliott Leclercq,,
Trichius gallicus gallicus,2025-06-01,107,Ghoy (HA),1,,,,Geoffrey Laurent,,https://waarnemingen.be/photos/120082932/
Roodaarskniptor-Athous haemorrhoidalis,2025-06-01,108,Froidchapelle (HA),1,,,,Philippe Deflorenne,,https://waarnemingen.be/photos/120105079/
Kniptor onbekend-Elateridae indet.,2025-06-01,109,Irchonwelz (HA),1,,,,Leplae Nicolas,,https://waarnemingen.be/photos/120165354/
Kortschildglimworm-Phosphaenus hemipterus,2025-06-01,110,Hautrage (HA),1,,,,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/photos/120108167/
Zwartpootsoldaatje-Cantharis fusca,2025-06-01,111,Braine-le-Comte (HA),1,,,,,,https://waarnemingen.be/species/8621/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Bleekgele weekschildkever-Cantharis livida,2025-06-01,112,Braine-le-Comte (HA),1,,,,querton gilbert,,https://waarnemingen.be/photos/120018690/
Cantharis spec.,2025-06-01,113,,1,,,,,,https://waarnemingen.be/species/8909/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Memel-Ptilinus pectinicornis,2025-06-01,114,Ploegsteert RNOP (HA),1,,,,Lionel Boucq,,https://waarnemingen.be/photos/119983153/
Clanoptilus elegans,2025-06-01,115,Châtelet (HA),1,,,,patricia iddenden,,https://waarnemingen.be/species/597451/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Zevenstippelig lieveheersbeestje-Coccinella septempunctata,2025-06-01,116,,1,,,,,,https://waarnemingen.be/species/8944/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Lieveheersbeestje onbekend-Coccinellidae indet.,2025-06-01,117,,1,,,,,,https://waarnemingen.be/species/156859/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Aziatisch lieveheersbeestje-Harmonia axyridis,2025-06-01,118,,1,,,,,,https://waarnemingen.be/species/8953/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Viervlekkig Aziatisch lieveheersbeestje-Harmonia axyridis f. spectabilis,2025-06-01,119,Pommeroeul (HA),1,,,,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/photos/120107884/
Veelstippig Aziatisch lieveheersbeestje-Harmonia axyridis f. succinea,2025-06-01,120,Moulbaix (HA),1,,,,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/species/8891/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Ischnomera cyanea,2025-06-01,121,Pommeroeul (HA),1,,,Ischnomera cyaneais een keversoort behorend tot de familie van deschijnboktorren.,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/photos/120118522/
Fraaie schijnbok-Oedemera nobilis,2025-06-01,122,Tertre (HA),1,,,,Ancelin M,,https://waarnemingen.be/species/20114/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Zwartkopvuurkever-Pyrochroa coccinea,2025-06-01,123,Bois d'Enghien et de Silly - N2000 (HA),1,,,,Louis Salmon,,https://waarnemingen.be/photos/120091231/
Roodkopvuurkever-Pyrochroa serraticornis,2025-06-01,124,Ancien canal - de Ronquières à Seneffe (HA),1,,,,Jos Vandeput,,https://waarnemingen.be/photos/120135871/
Gestreepte distelboktor-Agapanthia cardui,2025-06-01,125,Châtelet (HA),1,,,,Eliott Leclercq,,
Gewone distelboktor-Agapanthia villosoviridescens,2025-06-01,126,Celles (Hai.) (HA),1,,,,Nico,,https://waarnemingen.be/photos/120054933/
Kleine wespenboktor-Clytus arietis,2025-06-01,127,Frasnes-lez-Buissenal (HA),1,,,,Ine Nachtergaele,,https://waarnemingen.be/photos/119995754/
Gewone bloesemboktor-Grammoptera ruficornis,2025-06-01,128,Hautrage (HA),1,,,,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/photos/120105857/
Veranderlijke boktor-Phymatodes testaceus,2025-06-01,129,Ghoy (HA),1,,,,Christophe Gruwier,,https://waarnemingen.be/species/8924/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Geringelde smalboktor-Rutpela maculata,2025-06-01,130,,1,,,,,,https://waarnemingen.be/species/1686/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Getailleerde boktor-Stenopterus rufus,2025-06-01,131,Horrues (HA),1,,,,Nicolas7769,,https://waarnemingen.be/photos/120120453/
Tweekleurige smalboktor-Stenurella melanura,2025-06-01,132,Châtelet (HA),1,,,,Christophe Gruwier,,https://waarnemingen.be/species/20176/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Elzenhaantje-Agelastica alni,2025-06-01,133,Vallée de l'Aubrecheuil - N2000 (HA),1,,,,André Lafourt,,https://waarnemingen.be/photos/120070253/
Gouden wilgenaardvlo-Crepidodera aurata,2025-06-01,134,Mons (HA),1,,,,Servais Bernard,,https://waarnemingen.be/species/9333/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Phyllotreta ochripes,2025-06-01,135,Mons (HA),1,,,Phyllotreta ochripesis eenkeversoortuit de familiebladkevers(Chrysomelidae). De wetenschappelijke naam van de soort werd in 1837 gepubliceerd door Curtis.[1],Servais Bernard,,https://waarnemingen.be/photos/119950613/
Sphaeroderma spec.,2025-06-01,136,Gottignies (HA),1,,,,Marchi Armando,,https://waarnemingen.be/species/20413/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Viervlekbrandnetelsnuitkever-Nedyus quadrimaculatus,2025-06-01,137,Hautrage (HA),1,,,,Mario Lemaire et Elisabeth Lorin,,https://waarnemingen.be/photos/120106688/
Groene bladsnuitkever-Phyllobius pomaceus,2025-06-01,138,,1,,,,,,https://waarnemingen.be/species/1462/photos/?date_after=2025-06-01&date_before=2025-06-01&country_division=23
Zuringsnuitkever-Rhinoncus pericarpius,2025-06-01,139,Froidchapelle (HA),1,,,,Philippe Deflorenne,,https://waarnemingen.be/photos/120103042/
