date,common_name,photo_link,lon,place,observer,description,count,lat
2025-06-04,Glimmer onbekend-Amara spec.,https://waarnemingen.be/species/8643/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Mons (HA),Loïc Rochet,"Glimmer onbekend-Amara spec. is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Gestreepte haarwaterroofkever-Acilius canaliculatus,https://waarnemingen.be/photos/120499108/,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Gestreepte haarwaterroofkever-Acilius canaliculatus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Gegroefde haarwaterroofkever-Acilius sulcatus,https://waarnemingen.be/species/8529/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Gegroefde haarwaterroofkever-Acilius sulcatus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Gewone snelzwemmer-Agabus bipustulatus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Beetle_icon.svg/1200px-Beetle_icon.svg.png,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Gewone snelzwemmer-Agabus bipustulatus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",8,
2025-06-04,Bruine duiker-Colymbetes fuscus,https://waarnemingen.be/species/20674/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Bruine duiker-Colymbetes fuscus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",10,
2025-06-04,Gewone geelrand-Dytiscus marginalis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Beetle_icon.svg/1200px-Beetle_icon.svg.png,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Gewone geelrand-Dytiscus marginalis is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",6,
2025-06-04,Ilybius quadriguttatus,https://waarnemingen.be/photos/120495523/,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,Ilybius quadriguttatus is een keversoort uit de familie waterroofkevers (Dytiscidae). De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1835 door Lacordaire.[1] Taxonomy: Portaal Biologie Insecten: Portaal,1,
2025-06-04,Slijktor-Rhantus suturalis,https://waarnemingen.be/species/19152/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Anciennes Argilières du Grand Bois (Braine-le-Comte) (HA),Laurent Jacobs,"Slijktor-Rhantus suturalis is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Kortschildkever onbekend-Staphylinidae indet.,https://waarnemingen.be/photos/120585335/,,Flobecq - La Louvière (HA),Hans Uitterhaegen,"Kortschildkever onbekend-Staphylinidae indet. is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Klein vliegend hert-Dorcus parallelipipedus,https://waarnemingen.be/species/1661/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,,,"Klein vliegend hert-Dorcus parallelipipedus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",3,
